"HEROP_ID","GEOID","TotTracts","SutCtTmDr","SutCtTmDr2","SutTmDrP","SutTmDrP2","SutAvTmDr","SutAvTmDr2"
"050US01001","01001",17,0,0,0,0,NA,NA
"050US01003","01003",43,0,0,0,0,NA,NA
"050US01005","01005",9,0,0,0,0,NA,NA
"050US01007","01007",8,0,0,0,0,NA,NA
"050US01009","01009",16,0,0,0,0,NA,NA
"050US01011","01011",4,0,0,0,0,NA,NA
"050US01013","01013",9,0,0,0,0,NA,NA
"050US01015","01015",38,0,0,0,0,85.98,171.96
"050US01017","01017",9,0,0,0,0,NA,NA
"050US01019","01019",8,0,0,0,0,77.52,155.05
"050US01021","01021",12,0,0,0,0,NA,NA
"050US01023","01023",4,0,0,0,0,NA,NA
"050US01025","01025",9,0,0,0,0,NA,NA
"050US01027","01027",4,0,0,0,0,NA,NA
"050US01029","01029",4,0,0,0,0,76.25,152.5
"050US01031","01031",16,0,0,0,0,NA,NA
"050US01033","01033",15,0,0,0,0,NA,NA
"050US01035","01035",5,0,0,0,0,NA,NA
"050US01037","01037",3,0,0,0,0,NA,NA
"050US01039","01039",14,0,0,0,0,NA,NA
"050US01041","01041",6,0,0,0,0,NA,NA
"050US01043","01043",22,0,0,0,0,NA,NA
"050US01045","01045",14,0,0,0,0,NA,NA
"050US01047","01047",17,0,0,0,0,NA,NA
"050US01049","01049",21,0,0,0,0,60.28,120.55
"050US01051","01051",20,0,0,0,0,NA,NA
"050US01053","01053",10,0,0,0,0,NA,NA
"050US01055","01055",33,0,0,0,0,84.61,169.23
"050US01057","01057",5,0,0,0,0,NA,NA
"050US01059","01059",11,0,0,0,0,NA,NA
"050US01061","01061",6,0,0,0,0,NA,NA
"050US01063","01063",4,1,0,25,0,42.12,84.23
"050US01065","01065",7,0,0,0,0,45.31,90.61
"050US01067","01067",6,0,0,0,0,NA,NA
"050US01069","01069",26,0,0,0,0,NA,NA
"050US01071","01071",16,0,0,0,0,62.11,124.22
"050US01073","01073",189,0,0,0,0,NA,NA
"050US01075","01075",4,0,0,0,0,NA,NA
"050US01077","01077",26,0,0,0,0,NA,NA
"050US01079","01079",11,0,0,0,0,NA,NA
"050US01081","01081",48,0,0,0,0,NA,NA
"050US01083","01083",23,0,0,0,0,85.9,171.81
"050US01085","01085",4,0,0,0,0,NA,NA
"050US01087","01087",12,0,0,0,0,NA,NA
"050US01089","01089",95,0,0,0,0,86.88,173.76
"050US01091","01091",8,0,0,0,0,75.74,151.48
"050US01093","01093",11,0,0,0,0,NA,NA
"050US01095","01095",26,0,0,0,0,88.65,177.3
"050US01097","01097",135,0,0,0,0,NA,NA
"050US01099","01099",9,0,0,0,0,NA,NA
"050US01101","01101",71,0,0,0,0,NA,NA
"050US01103","01103",31,0,0,0,0,NA,NA
"050US01105","01105",4,0,0,0,0,NA,NA
"050US01107","01107",6,0,0,0,0,61.12,122.24
"050US01109","01109",11,0,0,0,0,NA,NA
"050US01111","01111",6,0,0,0,0,86.11,172.22
"050US01113","01113",18,0,0,0,0,NA,NA
"050US01115","01115",24,0,0,0,0,NA,NA
"050US01117","01117",55,0,0,0,0,NA,NA
"050US01119","01119",5,0,0,0,0,70.24,140.49
"050US01121","01121",24,0,0,0,0,NA,NA
"050US01123","01123",12,0,0,0,0,NA,NA
"050US01125","01125",59,47,39,79.66,66.1,10.61,21.23
"050US01127","01127",20,0,0,0,0,NA,NA
"050US01129","01129",5,0,0,0,0,NA,NA
"050US01131","01131",5,0,0,0,0,NA,NA
"050US01133","01133",8,0,0,0,0,NA,NA
"050US02013","02013",1,0,0,0,0,NA,NA
"050US02016","02016",2,0,0,0,0,NA,NA
"050US02020","02020",61,0,0,0,0,NA,NA
"050US02050","02050",3,0,0,0,0,NA,NA
"050US02060","02060",1,0,0,0,0,NA,NA
"050US02063","02063",2,0,0,0,0,NA,NA
"050US02066","02066",1,0,0,0,0,NA,NA
"050US02068","02068",1,0,0,0,0,NA,NA
"050US02070","02070",2,0,0,0,0,NA,NA
"050US02090","02090",22,0,0,0,0,NA,NA
"050US02100","02100",1,0,0,0,0,NA,NA
